"","Species","Order","Family","Genus","Species.1","BDT.C","UDT.C","EADDC","EEDDC","OS","ET","LT","TL1","TL2","TL3","TL4","TL5","TP","TMA","TOA","DE","DLT","D1","D2","D3","D4","D5","DP","DMA","DOA","DBE","DBLT","DB1","DB2","DB3","DB4","DB5","DBP","DBMA","DBOA","Author","Year","Title","Journal","Vol","Pages","Location","Lab","BDT.c","lon","lat"
"843","Symosyrphus grandicornis","Diptera","Syrphidae","Symosyrphus","grandicornis",4.65,NA,318.09,NA,"","5.8",5.94,9.1,"6.3","2","","",1.68,NA,NA,"22.4",130.8,"23.5","21.3","102.2","","",167.6,NA,NA,"26.73",153.21,48.19,27.4,77.62,NA,"","138.15",NA,"","Soleyman-Nezhadiyan, E. and R. Laughlin",1998,"Voracity of larvae, rate of development in eggs, larvae and pupae, and flight seasons of adults of the hoverflies Melangyna viridiceps Macquart and Symosyrphus grandicornis Macquart (Diptera: Syrphidae)","Australian Journal of Entomology","37"," 243-248","Australia, South Australia","",4.65,136.2091547,-30.0002315
"844","Syrphus ribesii","Diptera","Syrphidae","Syrphus","ribesii",7.1,NA,333.3,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Sundby, R.A.",1966,"A comparative study of the efficiency of three predatory insects, Coccinella septempunctata L. (Coleoptera: Coccinellidae), Chrysopa carnea St. (Neuroptera: Chrysopidae) and Syrphus ribesii L. (Diptera: Syrphidae) at two different temperatures.","Entomophaga","11(4)","395-404","Norway","",7.1,8.468946,60.472024
"846","Bessa parallela","Diptera","Tachinidae","Bessa","parallela",4.72,NA,395.46,NA,"","1.04",6.97,NA,"","","","",5.47,NA,NA,"53.61",108.94,"","","","","",207.38,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Ichiki, R., Takasu, K. and Shima, H.",2003,"Effects of temperature on immature development of the parasitic fly Bessa parallela (Meigen) (Diptera: Tachinidae).","Appl. Entomol. Zool.","38(4)","435-439","Japan, Fukoka 34¯N","",4.72,136.2091547,-30.0002315
"847","Bessa parallela","Diptera","Tachinidae","Bessa","parallela",6.27,NA,319.73,NA,"","1.04",6.97,NA,"","","","",6.6,NA,NA,"53.61",108.94,"","","","","",170.03,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Ichiki, R., Takasu, K. and Shima, H.",2003,"Effects of temperature on immature development of the parasitic fly Bessa parallela (Meigen) (Diptera: Tachinidae).","Appl. Entomol. Zool.","38(4)","435-439","Japan, Fukoka 34¯N","",6.27,136.2091547,-30.0002315
"849","Exorista mella","Diptera","Tachinidae","Exorista","mella",10.8,NA,289.5,NA,"","12.1",11.9,NA,"","","","",8.8,NA,NA,"33.9",99.4,"","","","","",168.9,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Butler, G.D., Bryan, D.E. and Jackson, C.G.",1968,"Development of the Salt-Marsh Caterpillar Parasite, Exorista mella at Controlled Constant and Variable Temperatures in the Laboratory","Journal of Economic Entomology","61(1)","161-163","USA","",10.8,NA,NA
"850","Leschenaultia adusta","Diptera","Tachinidae","Leschenaultia","adusta",8.3,NA,538.6,NA,"","",7.04,NA,"","","","",8.93,NA,NA,"",208.3,"","","","","",333.33,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Jackson, C.G., Bryan, D.E., Butler, G.D. and Patana, R.",1970,"Development, fecundity, and longevity of Leschenaultia adusta , a tachinid parasite of the salt-marsh catepillar.","Journal of Economic Entomology","63","1398-1400","USA","",8.3,NA,NA
"851","Leschenaultia adusta","Diptera","Tachinidae","Leschenaultia","adusta",8.6,NA,566.7,NA,"","",7.4,NA,"","","","",8.89,NA,NA,"",204.1,"","","","","",357.14,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Jackson, C.G., Bryan, D.E., Butler, G.D. and Patana, R.",1970,"Development, fecundity, and longevity of Leschenaultia adusta , a tachinid parasite of the salt-marsh catepillar.","Journal of Economic Entomology","63","1398-1400","USA","",8.6,NA,NA
"854","Lixophaga diatraeae","Diptera","Tachinidae","Lixophaga","diatraeae",9.7,NA,123.7,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","McPherson R.M., Hensley S.D.",1978,"Response of the parasite Lixophaga diatraeae (Tachinidae) to photoperiod and temperature.","Environmental Entomology","7","136-138","Cuba ","send to USA Louisiana)",9.7,-77.781167,21.521757
"855","Lixophaga diatraeae","Diptera","Tachinidae","Lixophaga","diatraeae",10.8,NA,110.2,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","McPherson R.M., Hensley S.D.",1978,"Response of the parasite Lixophaga diatraeae (Tachinidae) to photoperiod and temperature.","Environmental Entomology","7","136-138","Cuba ","send to USA Louisiana)",10.8,-77.781167,21.521757
"857","Palexorista laxa","Diptera","Tachinidae","Palexorista","laxa",10.8,NA,217.7,NA,"","9.98",NA,NA,"","","","",11.26,NA,NA,"88.8",NA,"","","","","",129.6,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Jackson, C.G., Bryan, D.E., Neeman, E.G. and Patana, R.",1976,"Palexorista laxa: development, longevity and production of progeny on Heliothis spp.","Environmental Entomology","5(3)","431-435","India Bangalore","",10.8,77.5945627,12.9715987
