"","Species","Order","Family","Genus","Species.1","BDT.C","UDT.C","EADDC","EEDDC","OS","ET","LT","TL1","TL2","TL3","TL4","TL5","TP","TMA","TOA","DE","DLT","D1","D2","D3","D4","D5","DP","DMA","DOA","DBE","DBLT","DB1","DB2","DB3","DB4","DB5","DBP","DBMA","DBOA","Author","Year","Title","Journal","Vol","Pages","Location","Lab","BDT.c","lon","lat"
"1461","Aphelinus gossypii","Hymenoptera","Aphelinidae","Aphelinus","gossypii",8.18,NA,291.82,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Tang, Y. Q. and R. K. Yokomi",1995,"Temperature-dependent development of three hymenopterous parasitoids of aphids (Homoptera: Aphididae) attacking citrus","Environmental Entomology","24"," 1736-1740","USA, Florida","",8.18,NA,NA
"1463","Aphelinus sp. - near varipes","Hymenoptera","Aphelinidae","Aphelinus","sp. - near varipes",8.9,NA,241.4,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Lajeunesse S.E., Johnson G.D.",1992,"Developmental time and host selection by the aphid parasitoid Aphelinus sp. nr. varipes (Foerster) (Hymenoptera: Aphelinidae).","Canadian Entomologist","124","565-575","Canada Manitoba","",8.9,-98.8138763,53.7608608
"1464","Aphelinus sp. - near varipes","Hymenoptera","Aphelinidae","Aphelinus","sp. - near varipes",9.2,NA,233.2,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Lajeunesse S.E., Johnson G.D.",1992,"Developmental time and host selection by the aphid parasitoid Aphelinus sp. nr. varipes (Foerster) (Hymenoptera: Aphelinidae).","Canadian Entomologist","124","565-575","Canada Manitoba","",9.2,-98.8138763,53.7608608
"1465","Aphelinus sp. - near varipes","Hymenoptera","Aphelinidae","Aphelinus","sp. - near varipes",9.2,NA,233.6,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Lajeunesse S.E., Johnson G.D.",1992,"Developmental time and host selection by the aphid parasitoid Aphelinus sp. nr. varipes (Foerster) (Hymenoptera: Aphelinidae).","Canadian Entomologist","124","565-575","Canada Manitoba","",9.2,-98.8138763,53.7608608
"1466","Aphelinus sp. - near varipes","Hymenoptera","Aphelinidae","Aphelinus","sp. - near varipes",7.53,NA,212.77,NA,"","6.59",NA,NA,"","","","",8.03,NA,NA,"96.71",NA,"","","","","",111.12,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Prinsloo, G. J., U. d. Plessis, et al.",2000,"Temperature requirements of Aphelinus sp. nr. varipes (Foerster) (Hymenoptera: Aphelinidae) a parasitoid of the Russian wheat aphid, Diuraphis noxia (Kurdjumov) (Homoptera: Aphididae)","African Entomology","8","75-79","Africa","",7.53,NA,NA
"1468","Aphelinus sp. nr. varipes","Hymenoptera","Aphelinidae","Aphelinus","sp. - near varipes",7.61,NA,214.92,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Prinsloo, G. J., U. d. Plessis",2000,"Temperature requirements of Aphelinus sp. nr. varipes (Foerster) (Hymenoptera: Aphelinidae) a parasitoid of the Russian wheat aphid, Diuraphis noxia (Kurdjumov) (Homoptera: Aphididae) ","African Entomology","8","75-79 ","Russia, Odesa 46¯30'N","",7.61,NA,NA
"1469","Aphelinus sp. nr. varipes","Hymenoptera","Aphelinidae","Aphelinus","sp. - near varipes",7.7,NA,212.18,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Prinsloo, G. J., U. d. Plessis",2000,"Temperature requirements of Aphelinus sp. nr. varipes (Foerster) (Hymenoptera: Aphelinidae) a parasitoid of the Russian wheat aphid, Diuraphis noxia (Kurdjumov) (Homoptera: Aphididae) ","African Entomology","8","75-79 ","Russia, Odesa 46¯30'N","",7.7,NA,NA
"1470","Aphelinus sp. nr. varipes","Hymenoptera","Aphelinidae","Aphelinus","sp. - near varipes",7.95,NA,205.03,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Prinsloo, G. J., U. d. Plessis",2000,"Temperature requirements of Aphelinus sp. nr. varipes (Foerster) (Hymenoptera: Aphelinidae) a parasitoid of the Russian wheat aphid, Diuraphis noxia (Kurdjumov) (Homoptera: Aphididae) ","African Entomology","8","75-79 ","Russia, Odesa 46¯30'N","",7.95,NA,NA
"1471","Aphelinus spiraecolae","Hymenoptera","Aphelinidae","Aphelinus","spiraecolae",6.62,NA,317.18,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Tang, Y. Q. and R. K. Yokomi",1995,"Temperature-dependent development of three hymenopterous parasitoids of aphids (Homoptera: Aphididae) attacking citrus","Environmental Entomology","24"," 1736-1740","China, Fusan","",6.62,116.9298117,40.6570472
"1472","Aphelinus spiraecolae","Hymenoptera","Aphelinidae","Aphelinus","spiraecolae",6.77,NA,311.19,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Tang, Y. Q. and R. K. Yokomi",1995,"Temperature-dependent development of three hymenopterous parasitoids of aphids (Homoptera: Aphididae) attacking citrus","Environmental Entomology","24"," 1736-1740","China, Fusan","",6.77,116.9298117,40.6570472
"1473","Aphelinus spiraecolae","Hymenoptera","Aphelinidae","Aphelinus","spiraecolae",6.95,NA,302.45,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Tang, Y. Q. and R. K. Yokomi",1995,"Temperature-dependent development of three hymenopterous parasitoids of aphids (Homoptera: Aphididae) attacking citrus","Environmental Entomology","24"," 1736-1740","China, Fusan","",6.95,116.9298117,40.6570472
"1474","Aphelinus varipes","Hymenoptera","Aphelinidae","Aphelinus","varipes",10.29,NA,190.6,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Steenis, M.J. van ",1995,"Evaluation and application of parasitoids for biological control of aphis gossypii in glasshouse cucumber crops.","Ph.D Thesis, wacheningen, The Netherlands, Wacheningen Apric. University","","","Camerun 4¯N","",10.29,116.8814724,24.6612612
"1476","Aphytis chrysomphali","Hymenoptera","Aphelinidae","Aphytis","chrysomphali",8.5,NA,166.7,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Abdelrahman, I.",1974,"Growth, development and innate capacity for increase in Aphytis chrysomphali Mercet and A. melinus DeBach, parasites of California red scale, Aonidiella aurantii (Mask.), in relation to temperature.","Australian Journal of Zoology","22","213-230","Australia, River Murray in south Australia","",8.5,140.5541639,-34.4540875
"1477","Aphytis chrysomphali","Hymenoptera","Aphelinidae","Aphytis","chrysomphali",8.4,NA,278,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Abdelrahman, I. ",1974,"Growth, development and innate capacity for increase in Aphytis chrysomphali Mercet and A. melinus DeBach, parasites of California red scale, Aonidiella aurantii (Mask.), in relation to temperature. ","Australian Journal of Zoology ","22","213-230 ","Australia N.S.Walles","",8.4,146.921099,-31.2532183
"1478","Aphytis chrysomphali","Hymenoptera","Aphelinidae","Aphytis","chrysomphali",12.4,NA,194.4,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Abdelrahman, I. ",1974,"Growth, development and innate capacity for increase in Aphytis chrysomphali Mercet and A. melinus DeBach, parasites of California red scale, Aonidiella aurantii (Mask.), in relation to temperature. ","Australian Journal of Zoology ","22","213-230 ","Australia N.S.Walles","",12.4,146.921099,-31.2532183
"1479","Aphytis chrysomphali","Hymenoptera","Aphelinidae","Aphytis","chrysomphali",4.6,NA,284.6,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Kfir R., Luck R.F.",1984,"Effects of temperature and relative humidity on developmental rate and adult life span of three Aphytis species (Hym., Aphelinidae) parasitizing California red scale.","Zeitschrift fur Angewandte Entomologie","97","314-320","USA California","",4.6,-119.4179324,36.778261
"1480","Aphytis lingnanensis","Hymenoptera","Aphelinidae","Aphytis","lingnanensis",10,NA,222.4,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Kfir R., Luck R.F.",1984,"Effects of temperature and relative humidity on developmental rate and adult life span of three Aphytis species (Hym., Aphelinidae) parasitizing California red scale.","Zeitschrift fur Angewandte Entomologie","97","314-320","USA California","",10,-119.4179324,36.778261
"1481","Aphytis melinus","Hymenoptera","Aphelinidae","Aphytis","melinus",10.8,NA,125,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Abdelrahman, I.",1974,"Growth, development and innate capacity for increase in Aphytis chrysomphali Mercet and A. melinus DeBach, parasites of California red scale, Aonidiella aurantii (Mask.), in relation to temperature.","Australian Journal of Zoology","22","213-230","Australia, River Murray in south Australia","",10.8,140.5541639,-34.4540875
"1482","Aphytis melinus","Hymenoptera","Aphelinidae","Aphytis","melinus",11,NA,90.9,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Abdelrahman, I.",1974,"Growth, development and innate capacity for increase in Aphytis chrysomphali Mercet and A. melinus DeBach, parasites of California red scale, Aonidiella aurantii (Mask.), in relation to temperature.","Australian Journal of Zoology","22","213-230","Australia, River Murray in south Australia","",11,140.5541639,-34.4540875
"1483","Aphytis melinus","Hymenoptera","Aphelinidae","Aphytis","melinus",10.8,NA,243.4,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Abdelrahman, I. ",1974,"Growth, development and innate capacity for increase in Aphytis chrysomphali Mercet and A. melinus DeBach, parasites of California red scale, Aonidiella aurantii (Mask.), in relation to temperature. ","Australian Journal of Zoology ","22","213-230 ","Australia N.S.Walles","",10.8,146.921099,-31.2532183
"1484","Aphytis melinus","Hymenoptera","Aphelinidae","Aphytis","melinus",11,NA,242.4,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Abdelrahman, I. ",1974,"Growth, development and innate capacity for increase in Aphytis chrysomphali Mercet and A. melinus DeBach, parasites of California red scale, Aonidiella aurantii (Mask.), in relation to temperature. ","Australian Journal of Zoology ","22","213-230 ","Australia N.S.Walles","",11,146.921099,-31.2532183
"1485","Aphytis melinus","Hymenoptera","Aphelinidae","Aphytis","melinus",13.3,NA,187.6,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Abdelrahman, I. ",1974,"Growth, development and innate capacity for increase in Aphytis chrysomphali Mercet and A. melinus DeBach, parasites of California red scale, Aonidiella aurantii (Mask.), in relation to temperature. ","Australian Journal of Zoology ","22","213-230 ","Australia N.S.Walles","",13.3,146.921099,-31.2532183
"1486","Aphytis melinus","Hymenoptera","Aphelinidae","Aphytis","melinus",13.4,NA,187.7,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Abdelrahman, I. ",1974,"Growth, development and innate capacity for increase in Aphytis chrysomphali Mercet and A. melinus DeBach, parasites of California red scale, Aonidiella aurantii (Mask.), in relation to temperature. ","Australian Journal of Zoology ","22","213-230 ","Australia N.S.Walles","",13.4,146.921099,-31.2532183
"1487","Aphytis melinus","Hymenoptera","Aphelinidae","Aphytis","melinus",7.3,NA,265.1,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Kfir R., Luck R.F.",1984,"Effects of temperature and relative humidity on developmental rate and adult life span of three Aphytis species (Hym., Aphelinidae) parasitizing California red scale.","Zeitschrift fur Angewandte Entomologie","97","314-320","USA California","",7.3,-119.4179324,36.778261
"1488","Aphytis melinus","Hymenoptera","Aphelinidae","Aphytis","melinus",10.1,NA,235.2,NA,"","12.8",8.6,NA,"","","","",9.8,NA,NA,"31.1",115.8,"","","","","",92.2,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Yu, D. S. and R. F. Luck",1988,"Temperature-dependent size and development of California red scale (Homoptera: Diaspididae) and its effect on host availability for the ectoparasitoid, Aphytis melinus DeBach (Hymenoptera: Aphelinidae)","Environmental Entomology","17"," 154-161","USA California","",10.1,-119.4179324,36.778261
"1489","Coccobius fulvus","Hymenoptera","Aphelinidae","Coccobius","fulvus",11.5,NA,374.8,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Ogata, T.",1987,"Effect of temperature on the development of Coccobius fulvus (Compere et Annecke) (Hymenoptera: Aphelinidae), an introduced parasitoid of the arrowhead scale Unaspis yanonensis (Kuwana) (Homoptera: Diaspididae)","Japanese Journal of Applied Entomology and Zoology","31","168-169","Japana Fukuoka","",11.5,130.418297,33.6065756
"1490","Coccobius fulvus","Hymenoptera","Aphelinidae","Coccobius","fulvus",11.6,NA,355.6,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Ogata, T.",1987,"Effect of temperature on the development of Coccobius fulvus (Compere et Annecke) (Hymenoptera: Aphelinidae), an introduced parasitoid of the arrowhead scale Unaspis yanonensis (Kuwana) (Homoptera: Diaspididae)","Japanese Journal of Applied Entomology and Zoology","31","168-169","Japana Fukuoka","",11.6,130.418297,33.6065756
"1491","Coccobius fulvus","Hymenoptera","Aphelinidae","Coccobius","fulvus",11.5,NA,373,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Ogata, T.",1987,"Effect of temperature on the development of Coccobius fulvus (Compere et Annecke) (Hymenoptera: Aphelinidae), an introduced parasitoid of the arrowhead scale Unaspis yanonensis (Kuwana) (Homoptera: Diaspididae)","Japanese Journal of Applied Entomology and Zoology","31","168-169","Japan","",11.5,138.252924,36.204824
"1492","Encarsia citrina","Hymenoptera","Aphelinidae","Encarsia","citrina",8.73,NA,425.21,NA,"","10.1",NA,NA,"","","","",5.94,NA,NA,"232.31",NA,"","","","","",199.14,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Matadha, D., Hamilton, G.C. and Lashomb, J.H.",2004,"Effect of Temperature on Development, Fecundity, and Life Table Parameters of Encarsia citrina Craw (Hymenoptera: Aphelinidae), a Parasitoid of Euonymus Scale , Unaspis euonymi (Comstock), and Quadraspidiotus perniciosus (Comstock) (Homoptera: Diaspididae).","Environmental Entomology","33(5)","1185-1191","USA, New Yersey 40¯N","",8.73,130.4017155,33.5903547
"1493","Encarsia formosa","Hymenoptera","Aphelinidae","Encarsia","formosa",13.3,NA,207.4,NA,"","",NA,NA,"","","","",NA,11,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Enkegaard, A.",1993,"Encarsia formosa parasitizing the Poinsettia-strain of the cotton whitefly, Bemisia tabaci, on Poinsettia: bionomics in relation to temperature.","Entomologia Experimentalis et Applicata","69","251-261","Germany, Radofzell ","but study in Denmark - laboratory studies)",13.3,8.9669098,47.745237
"1494","Encarsia formosa","Hymenoptera","Aphelinidae","Encarsia","formosa",12.8,NA,188.9,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Osborne, L. S.",1982,"Temperature-dependent development of greenhouse whitefly and its parasite, Encarsia formosa.","Environmental Entomology","11","483-485","USA, California ","lab  studies)",12.8,-76.5074542,38.3004029
"1495","Encarsia formosa","Hymenoptera","Aphelinidae","Encarsia","formosa",12,NA,241,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Shishehbor, P. and P. A. Brennan",1996,"Parasitism of the castor whitefly, <i>Trialeurodes ricini</i> (Homoptera: Aleyrodidae) by <i>Encarsia formosa</i> (Hymenoptera: Aphelinidae): bionomics in relation to temperature.","Bulletin of Entomological Research","86","67-72","Netherlands ","experiment in 'Ireland, and host from Iran)",12,5.291266,52.132633
"1496","Encarsia perniciosi","Hymenoptera","Aphelinidae","Encarsia","perniciosi",5.2,NA,520.1,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","McClain D.C., Rock G.C., Stinner R.E.",1990,"Thermal requirements for development and simulation of the seasonal phenology of Encarsia perniciosi (Hymenoptera: Aphelinidae), a parasitoid of the San Jose scale (Homoptera: Diaspididae) in North Carolina orchards.","Environmental Entomology","19(5)","1396-1402","USA N Carolina","",5.2,-79.0192997,35.7595731
"1497","Encarsia perniciosi","Hymenoptera","Aphelinidae","Encarsia","perniciosi",8,NA,399.3,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","McClain D.C., Rock G.C., Stinner R.E.",1990,"Thermal requirements for development and simulation of the seasonal phenology of Encarsia perniciosi (Hymenoptera: Aphelinidae), a parasitoid of the San Jose scale (Homoptera: Diaspididae) in North Carolina orchards.","Environmental Entomology","19(5)","1396-1402","USA N Carolina","",8,-79.0192997,35.7595731
"1498","Encarsia perniciosi","Hymenoptera","Aphelinidae","Encarsia","perniciosi",9.1,NA,366.2,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","McClain D.C., Rock G.C., Stinner R.E.",1990,"Thermal requirements for development and simulation of the seasonal phenology of Encarsia perniciosi (Hymenoptera: Aphelinidae), a parasitoid of the San Jose scale (Homoptera: Diaspididae) in North Carolina orchards.","Environmental Entomology","19(5)","1396-1402","USA N Carolina","",9.1,-79.0192997,35.7595731
"1500","Eretmocerus eremicus","Hymenoptera","Aphelinidae","Eretmocerus","eremicus",5.44,NA,417.3,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Greenberg, S. M., B. C. Legaspi, Jr., et al.",2000," Temperature-dependent life history of Eretmocerus eremicus (Hymenoptera: Aphelinidae) on two whitefly hosts (Homoptera: Aleyrodidae)","Environmental Entomology","29"," 851-860","USA, Texas, Mission","",5.44,-98.3252932,26.2159066
"1501","Eretmocerus eremicus","Hymenoptera","Aphelinidae","Eretmocerus","eremicus",8.7,NA,314.4,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Greenberg, S. M., B. C. Legaspi, Jr., et al.",2000," Temperature-dependent life history of Eretmocerus eremicus (Hymenoptera: Aphelinidae) on two whitefly hosts (Homoptera: Aleyrodidae)","Environmental Entomology","29"," 851-860","USA, Texas, Mission","",8.7,-98.3252932,26.2159066
"1502","Eretmocerus eremicus","Hymenoptera","Aphelinidae","Eretmocerus","eremicus",6.1,NA,366.8,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Tullett, A. G., A. J. Hart, et al.",2004,"Assessing the effects of low temperature on the establishment potential in Britain of the non-native biological control agent Eretmocerus eremicus.","Physiological Entomology","29","363-371","UK, Little Clacton","",6.1,1.1411119,51.825438
"1503","Eretmocerus sp.","Hymenoptera","Aphelinidae","Eretmocerus","sp.",8.9,NA,377.4,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Powell D.A., Bellows T.S.",1992,"Development and reproduction of two populations of Eretmocerus species (Hymenoptera: Aphelinidae) on Bemisia tabaci (Homoptera: Aleyrodidae).","Environmental Entomology","21","651 - 658","Canada British Columbia central","",8.9,NA,NA
